county	state	population
Harris	TX	1798957
Harrison	TX	45662
Hartley	TX	3058
Haskell	TX	8295
Hays	TX	29392
Hemphill	TX	3437
Henderson	TX	28290
Hidalgo	TX	193395
Hill	TX	22877
Hockley	TX	21146
Hood	TX	7557
Hopkins	TX	21284
Houston	TX	18621
Howard	TX	38947
Hudspeth	TX	2373
Hunt	TX	48905
Hutchinson	TX	25127
Irion	TX	1212
Jack	TX	6513
Jackson	TX	12944
Jasper	TX	24893
Jeff Davis	TX	1449
Jefferson	TX	246735
Jim Hogg	TX	4702
Jim Wells	TX	33804
Johnson	TX	48351
Jones	TX	16658
Karnes	TX	13553
Kaufman	TX	33346
Kendall	TX	7329
Kenedy	TX	583
Kent	TX	1397
Kerr	TX	19902
Kimble	TX	3869
King	TX	345
Kinney	TX	1944
Kleberg	TX	33934
Knox	TX	5937
Lamar	TX	37157
Lamb	TX	17719
Lampasas	TX	9881
La Salle	TX	5196
Lavaca	TX	17751
Lee	TX	8298
Leon	TX	8484
Liberty	TX	35338
Limestone	TX	19096
Lipscomb	TX	3567
Live Oak	TX	6533
Llano	TX	7309
Loving	TX	119
Lubbock	TX	185676
Lynn	TX	8683
McCulloch	TX	8542
McLennan	TX	149874
McMullen	TX	1002
Madison	TX	7740
Marion	TX	7980
Martin	TX	4880
Mason	TX	3330
Matagorda	TX	28339
Maverick	TX	19017
Medina	TX	20591
Menard	TX	2814
Midland	TX	66421
Milam	TX	20484
Mills	TX	4417
Mitchell	TX	8742
Montague	TX	15855
Montgomery	TX	57241
Moore	TX	14422
Morris	TX	12853
Motley	TX	2133
Nacogdoches	TX	38467
Navarro	TX	31425
Newton	TX	11392
Nolan	TX	16375
Nueces	TX	246131
Ochiltree	TX	9522
Oldham	TX	2572
Orange	TX	72415
Palo Pinto	TX	27638
Panola	TX	16694
Parker	TX	33667
Parmer	TX	10974
Pecos	TX	13487
Polk	TX	15433
Potter	TX	92073
Presidio	TX	5056
Rains	TX	3956
Randall	TX	55414
Reagan	TX	3361
Real	TX	2049
Red River	TX	14877
Reeves	TX	16557
Refugio	TX	9589
Roberts	TX	1016
Robertson	TX	14549
Rockwall	TX	7401
Runnels	TX	11970
Rusk	TX	34735
Sabine	TX	7249
San Augustine	TX	8036
San Jacinto	TX	6937
San Patricio	TX	47883
San Saba	TX	5539
Schleicher	TX	2213
Scurry	TX	16435
Shackelford	TX	3479
Shelby	TX	20295
Sherman	TX	3537
Smith	TX	99838
Somervell	TX	2851
Starr	TX	18532
Stephens	TX	8644
Sterling	TX	1147
Stonewall	TX	2500
Sutton	TX	3181
Swisher	TX	10537
Tarrant	TX	726370
Taylor	TX	99760
Terrell	TX	1842
Terry	TX	14498
Throckmorton	TX	2366
Titus	TX	17466
Tom Green	TX	73031
Travis	TX	310264
Trinity	TX	7919
Tyler	TX	12575
Upshur	TX	22527
Upton	TX	4671
Uvalde	TX	17727
Val Verde	TX	28608
Van Zandt	TX	24494
Victoria	TX	54618
Walker	TX	29801
Waller	TX	14854
Ward	TX	13033
Washington	TX	18874
Webb	TX	77555
Wharton	TX	37146
Wheeler	TX	6443
Wichita	TX	121710
Wilbarger	TX	15644
Willacy	TX	16057
Williamson	TX	39555
Wilson	TX	13270
Winkler	TX	9420
Wise	TX	20257
Wood	TX	20103
Yoakum	TX	7419
Young	TX	15759
Zapata	TX	4528
Zavala	TX	11778
Beaver	UT	3830
Box Elder	UT	28535
Cache	UT	43420
Carbon	UT	16064
Daggett	UT	655
Davis	UT	103663
Duchesne	UT	7878
Emery	UT	5258
Garfield	UT	3151
Grand	UT	6306
Iron	UT	12846
Juab	UT	4645
Kane	UT	2474
Millard	UT	7258
Morgan	UT	4113
Piute	UT	1131
Rich	UT	1600
Salt Lake	UT	476673
San Juan	UT	9984
Sanpete	UT	11191
Sevier	UT	10534
Summit	UT	6102
Tooele	UT	22208
Uintah	UT	13293
Utah	UT	145996
Wasatch	UT	6249
Washington	UT	15037
Wayne	UT	1472
Weber	UT	129151
Addison	VT	24462
Bennington	VT	29264
Caledonia	VT	23239
Chittenden	VT	102351
Essex	VT	5553
Franklin	VT	31601
Grand Isle	VT	3598
Lamoille	VT	13643
Orange	VT	18206
Orleans	VT	20453
Rutland	VT	54390
Washington	VT	48238
Windham	VT	34262
Windsor	VT	45090
Accomack	VA	28560
Albemarle	VA	38170
Alleghany	VA	13385
Amelia	VA	7654
Amherst	VA	26779
Appomattox	VA	9984
Arlington	VA	174497
Augusta	VA	46482
Bath	VA	5266
Bedford	VA	27835
Bland	VA	5663
Botetourt	VA	18547
Brunswick	VA	16230
Buchanan	VA	33661
Buckingham	VA	10841
Campbell	VA	44885
Caroline	VA	14455
Carroll	VA	23535
Charles City	VA	6347
Charlotte	VA	12775
Chesterfield	VA	81688
Clarke	VA	8469
Craig	VA	3529
Culpeper	VA	18839
Cumberland	VA	6301
Dickenson	VA	16623
Dinwiddie	VA	25404
Essex	VA	7386
Fairfax	VA	464686
Fauquier	VA	27600
Floyd	VA	9956
Fluvanna	VA	8019
Franklin	VA	29410
Frederick	VA	25998
Giles	VA	16895
Gloucester	VA	14710
Goochland	VA	10114
Grayson	VA	16340
Greene	VA	5483
Greensville	VA	9741
Halifax	VA	30267
Hanover	VA	39337
Henrico	VA	160465
Henry	VA	52386
Highland	VA	2636
Isle of Wight	VA	19310
James City	VA	18636
King and Queen	VA	5533
King George	VA	8314
King William	VA	7402
Lancaster	VA	8967
Lee	VA	21911
Loudoun	VA	38500
Louisa	VA	15339
Lunenburg	VA	11550
Madison	VA	8896
Mathews	VA	7545
Mecklenburg	VA	30264
Middlesex	VA	6224
Montgomery	VA	48509
Nelson	VA	11426
New Kent	VA	5439
Northampton	VA	14650
Northumberland	VA	9684
Nottoway	VA	14636
Orange	VA	14689
Page	VA	17076
Patrick	VA	15961
Pittsylvania	VA	59762
Powhatan	VA	8211
Prince Edward	VA	14848
Prince George	VA	28531
Prince William	VA	100948
Pulaski	VA	30567
Rappahannock	VA	5231
Richmond	VA	6598
Roanoke	VA	71102
Rockbridge	VA	16861
Rockingham	VA	50137
Russell	VA	25152
Scott	VA	24889
Shenandoah	VA	23762
Smyth	VA	32323
Southampton	VA	18493
Spotsylvania	VA	17853
Stafford	VA	25624
Surry	VA	6398
Sussex	VA	11464
Tazewell	VA	41832
Warren	VA	16249
Washington	VA	43059
Westmoreland	VA	12864
Wise	VA	37167
Wythe	VA	22931
York	VA	28787
Alexandria	VA	110294
Bedford	VA	6096
Bristol	VA	14647
Buena Vista	VA	6118
Charlottesville	VA	39748
Chesapeake	VA	91858
Clifton Forge	VA	5694
Colonial Heights	VA	15788
Covington	VA	10013
Danville	VA	47304
Emporia	VA	5339
Fairfax	VA	21729
Falls Church	VA	10675
Franklin	VA	6844
Fredericksburg	VA	14694
Galax	VA	6131
Hampton	VA	121432
Harrisonburg	VA	14961
Hopewell	VA	24250
Lexington	VA	7618
Lynchburg	VA	55778
Manassas	VA	11173
Manassas Park	VA	7113
Martinsville	VA	19501
Newport News	VA	139866
Norfolk	VA	302121
Norton	VA	4251
Petersburg	VA	36000
Poquoson	VA	5703
Portsmouth	VA	111480
Radford	VA	12087
Richmond	VA	246474
Roanoke	VA	93665
Salem	VA	22102
South Boston	VA	6979
Staunton	VA	24455
Suffolk	VA	46132
Virginia Beach	VA	180321
Waynesboro	VA	16769
Williamsburg	VA	9743
Winchester	VA	19892
Adams	WA	12474
Asotin	WA	14091
Benton	WA	67742
Chelan	WA	41074
Clallam	WA	36103
Clark	WA	134699
Columbia	WA	4269
Cowlitz	WA	69830
Douglas	WA	17108
Ferry	WA	3796
Franklin	WA	26338
Garfield	WA	2907
Grant	WA	43570
Grays Harbor	WA	59487
Island	WA	27710
Jefferson	WA	10452
King	WA	1149612
Kitsap	WA	101605
Kittitas	WA	25567
Klickitat	WA	12420
Lewis	WA	46190
Lincoln	WA	9580
Mason	WA	21285
Okanogan	WA	26015
Pacific	WA	15625
Pend Oreille	WA	6330
Pierce	WA	417620
San Juan	WA	4110
Skagit	WA	52694
Skamania	WA	5891
Snohomish	WA	267944
Spokane	WA	296857
Stevens	WA	17571
Thurston	WA	79920
Wahkiakum	WA	3579
Walla Walla	WA	42231
Whatcom	WA	85688
Whitman	WA	38939
Yakima	WA	148016
Barbour	WV	14721
Berkeley	WV	37180
Boone	WV	25554
Braxton	WV	13206
Brooke	WV	30131
Cabell	WV	108917
Calhoun	WV	7191
Clay	WV	9797
Doddridge	WV	6416
Fayette	WV	49840
Gilmer	WV	7720
Grant	WV	8715
Greenbrier	WV	32550
Hampshire	WV	11825
Hancock	WV	39905
Hardy	WV	8998
Harrison	WV	74508
Jackson	WV	20802
Jefferson	WV	21493
Kanawha	WV	229834
Lewis	WV	18339
Lincoln	WV	19477
Logan	WV	47433
McDowell	WV	50783
Marion	WV	62285
Marshall	WV	38496
Mason	WV	24555
Mercer	WV	64004
Mineral	WV	23581
Mingo	WV	33818
Monongalia	WV	64757
Monroe	WV	11592
Morgan	WV	8609
Nicholas	WV	23186
Ohio	WV	64260
Pendleton	WV	7153
Pleasants	WV	7451
Pocahontas	WV	8893
Preston	WV	25926
Putnam	WV	28033
Raleigh	WV	72557
Randolph	WV	25489
Ritchie	WV	10534
Roane	WV	14411
Summers	WV	14021
Taylor	WV	14417
Tucker	WV	7758
Tyler	WV	10058
Upshur	WV	19829
Wayne	WV	38625
Webster	WV	9673
Wetzel	WV	20012
Wirt	WV	4171
Wood	WV	85939
Wyoming	WV	30799
Adams	WI	9740
Ashland	WI	16495
Barron	WI	35303
Bayfield	WI	11851
Brown	WI	161673
Buffalo	WI	14097
Burnett	WI	9623
Calumet	WI	27726
Chippewa	WI	48371
Clark	WI	30620
Columbia	WI	40898
Crawford	WI	15627
Dane	WI	294364
Dodge	WI	69885
Door	WI	20501
Douglas	WI	45558
Dunn	WI	29792
Eau Claire	WI	70245
Florence	WI	3297
Fond du Lac	WI	83568
Forest	WI	7724
Grant	WI	48763
Green	WI	27272
Green Lake	WI	17395
Iowa	WI	20091
Iron	WI	6513
Jackson	WI	15356
Jefferson	WI	60995
Juneau	WI	18716
Kenosha	WI	118856
Kewaunee	WI	19411
La Crosse	WI	81621
Lafayette	WI	17758
Langlade	WI	19568
Lincoln	WI	24453
Manitowoc	WI	82182
Marathon	WI	99163
Marinette	WI	35971
Marquette	WI	9140
Menominee	WI	2865
Milwaukee	WI	1052388
Monroe	WI	32122
Oconto	WI	25508
Oneida	WI	25252
Outagamie	WI	120597
Ozaukee	WI	55655
Pepin	WI	7612
Pierce	WI	27818
Polk	WI	27678
Portage	WI	48808
Price	WI	14612
Racine	WI	170370
Richland	WI	16659
Rock	WI	132256
Rusk	WI	14406
St. Croix	WI	35317
Sauk	WI	39247
Sawyer	WI	10077
Shawano	WI	33087
Sheboygan	WI	97080
Taylor	WI	17624
Trempealeau	WI	23266
Vernon	WI	24749
Vilas	WI	11400
Walworth	WI	64369
Washburn	WI	10917
Washington	WI	64744
Waukesha	WI	232425
Waupaca	WI	38403
Waushara	WI	15250
Winnebago	WI	131227
Wood	WI	65961
Albany	WY	26533
Big Horn	WY	10499
Campbell	WY	13514
Carbon	WY	13993
Converse	WY	6533
Crook	WY	4491
Fremont	WY	28685
Goshen	WY	11064
Hot Springs	WY	5318
Johnson	WY	5722
Laramie	WY	57941
Lincoln	WY	9261
Natrona	WY	52119
Niobrara	WY	2940
Park	WY	18036
Platte	WY	6741
Sheridan	WY	17912
Sublette	WY	3623
Sweetwater	WY	19236
Teton	WY	5188
Uinta	WY	7001
Washakie	WY	7529
Weston	WY	6134
